문화시설명,주소,lat,lng
국립국어원 우리말 꿈터,서울특별시 강서구 금낭화로 154 국립국어원 1층 ,37.579155054659,126.81383542564
학고재,서울특별시 종로구 삼청로 50,37.5804654638012,126.980316758246
선돌극장,서울특별시 종로구 혜화로5길 5,37.5868126204241,126.99976518
남산골한옥마을,서울특별시 중구 퇴계로34길 28,37.559304933707146,126.994440072131
국립고궁박물관,서울 종로구 효자로 12 국립고궁박물관,37.5765916191985,126.974974825074
떡박물관,서울 종로구 돈화문로 71 인산빌딩,37.5748995802783,126.990638129224
허준박물관,서울특별시 강서구 허준로 87,37.5678724473689,126.851031243879
2ND AVENUE GALLERY,서울특별시 중구 필동로8길 22,37.555139463911,126.994911633545
강서문화원,서울특별시 강서구 가로공원로 195,37.537543087798,126.837642139084
도봉기적의도서관,서울 도봉구 마들로 797 도봉기적의도서관,37.6808029698392,127.050132749664
은평구립도서관,서울특별시 은평구 통일로78가길 13-84(불광동),37.6190451,126.9283998
구로아트밸리예술극장,서울특별시 구로구 가마산로25길 9,37.4966251468796,126.890315032666
서울특별시교육청 개포도서관,서울  강남구 개포동  선릉로4길 30,37.4829604,127.063769
은평역사한옥박물관,서울 은평구 연서로50길 8,37.6404009547,126.9380554763
더 소호,서울 종로구 필운대로 17 필운동연립주택,37.5778764483968,126.969297162507
도봉문화원,서울 도봉구 도봉로 552 도봉구민회관,37.654199284867,127.038870491264
드라마센터,서울특별시 중구 소파로 138,37.5591300607013,126.988389426431
KBS홀,서울특별시 영등포구 여의공원로 13,37.5259698897016,126.916716838156
강동구립성내도서관,서울특별시 강동구 성안로 106-1,37.5328454696729,127.133342998226
유리지공예관,서울특별시 서초구 중앙로 555,37.457757841871,127.01235419179
아리랑도서관,서울특별시 성북구 아리랑로 82,37.6001190917898,127.013893650352
LG상남도서관,서울특별시 종로구 창덕궁1길 18,37.5797322332183,126.98848528683
한상수자수박물관,서울특별시 성북구 성북로16길 4-10,37.5936139377352,127.000933590689
강동구민회관,서울특별시 강동구 상암로 168,37.5458583,127.1411875
소나무언덕3호도서관,서울 송파구 성내천로 319 마천청소년센터 4층,37.4923468656377,127.156636725225
도봉구민회관,서울특별시 도봉구 도봉로 552,37.65419780351007,127.03844201600822
월계도서관,서울특별시 노원구 월계로 319,37.6286377186897,127.05612282546
GB 가빈아트홀,"서울특별시 강남구 삼성로 534, B2층 가빈아트홀",37.5096776765406,127.055536318832
성북여성문화센터,서울특별시 성북구 성북로4길 177,37.59561706859412,127.00866241383996
코엑스전시장,서울특별시 강남구 영동대로 513,37.5118239121138,127.059159043842
한국공예문화진흥원,서울 종로구 율곡로 53 해영회관 5층,37.576600362627,126.985127531969
국립한글박물관,서울 용산구 용산동6가 412-6,37.5211619506891,126.98097295481348
홍대 롤링홀,"서울특별시 마포구 어울마당로 35 지하 1층, 2층",37.5484975164949,126.920120953258
목인박물관 목석원,서울특별시 종로구 창의문로5길 46-1,37.5890219122924,126.963289212881
이문체육문화센터,서울특별시 동대문구 한천로58길 81-49,37.60227815080871,127.06885250776844
대림도서관,서울특별시 영등포구 도신로 27,37.5042968146599,126.896055988494
세종대학교 대양홀,서울특별시 광진구 능동로 209,37.5516093089619,127.07318364213
상명아트센터,서울특별시 종로구 홍지문2길 20,37.604108905882,126.955159496571
중랑문화체육관,서울특별시 중랑구 사가정로72길 47,37.5793003913518,127.095770883838
운현궁,서울특별시 종로구 삼일대로 464,37.57607864675475,126.987083357962
창동문화체육센터,서울특별시 도봉구 노해로69길 132,37.65800441752016,127.05048800126988
스튜디오 콘크리트,서울특별시 용산구 한남대로 162,37.5424514132642,127.002516651699
용산아트홀,서울특별시 용산구 녹사평대로 150,37.5324522944579,126.990478820837
영등포아트홀,서울 영등포구 국회대로 596 영등포아트홀,37.5260087284496,126.900109255921
강남구민회관,서울특별시 강남구 삼성로 154,37.4938499406221,127.06414979923
국회도서관,서울 영등포구 여의도동 의사당대로 1 국회의사당,37.5329119742768,126.916403869603
겸재정선미술관,서울특별시 강서구 양천로47길 36,37.5722229700452,126.838412024868
갤러리 라메르,서울특별시 종로구 인사동5길 26 홍익빌딩,37.5725819833564,126.984868085947
서초구립반포도서관,서울 서초구 고무래로 34 서초구립반포도서관,37.5024870733134,127.01251344236
토포하우스,서울 종로구 인사동11길 6 토포하우스,37.574095133366,126.98432452544
셀린박 갤러리,서울특별시 강남구 압구정로32길 30,37.5257900767039,127.029756991789
갤러리 가이아,서울특별시 강남구 선릉로162길 43,37.5263596212575,127.044097726418
종이나라박물관,서울특별시 중구 장충단로 166,37.5596804372304,127.006202929994
서울시립 난지미술창작스튜디오,서울특별시 마포구 하늘공원로 108-1,37.56907059409881,126.87892209519516
두산아트센터 연강홀,서울특별시 종로구 종로33길 15,37.5718123278145,127.00100010537
성암아트홀,서울특별시 강남구 선릉로111길 6 3F 전층,37.5110534156341,127.043020996617
명동난타극장,서울특별시 중구 명동길 26,37.5634574532023,126.983764788709
한전아트센터,서울특별시 서초구 효령로72길 60,37.4856046634033,127.028078834421
세빛섬,서울특별시 서초구 올림픽대로 2085-14,37.5124362037118,126.995962256954
문학의집서울,서울특별시 중구 퇴계로26길 65,37.5580841736,126.9892390979
서울상상나라,서울  광진구 능동로 216,37.55055,127.077569
강동구립암사도서관,서울특별시 강동구 고덕로20길 42,37.5528330245657,127.133365473246
강동구립천호도서관,"서울특별시 강동구 성안로31마길 1, 2층",37.5405232247297,127.134081513483
문화공간 이육사,서울특별시 성북구 종암로21가길 36-1,37.5981380921564,127.032601556099
도봉문화정보도서관,서울 도봉구 덕릉로 315 도봉문화정보도서관,37.6446909352991,127.043768286365
서대문자연사박물관,서울특별시 서대문구 연희로32길 51,37.5767519879565,126.937858169171
SETEC전시장(서울무역전시장),서울특별시 강남구 남부순환로 3104,37.4956786590374,127.071912029293
김영섭사진화랑,서울특별시 강남구 강남대로152길 13,37.517378842154,127.020501567636
평화문화진지,서울특별시 도봉구 마들로 932,37.690780138783,127.046812594303
디뮤지엄,서울특별시 성동구 왕십리로 83-21,37.5441547484979,127.043357753557
아웃사이트,서울특별시 종로구 창경궁로35가길 12,37.5872586942711,127.001368055445
서울무용센터,서울 서대문구 명지2길 14,37.5830598426,126.9278728999
강남구립못골도서관,서울특별시 강남구 자곡로 116,37.47153792025,127.096582363421
롯데콘서트홀,서울특별시 송파구 올림픽로 300 롯데월드몰 8층,37.5137519612953,127.104446890835
인사아트센터,서울특별시 종로구 인사동길 41-1,37.5738798319827,126.98460089481
갤러리 도올,서울 종로구 삼청로 87 도올빌딩 2층,37.5832322737028,126.981676992197
아트선재센터,서울 종로구 율곡로3길 87 아트선재센터,37.5794635323506,126.981839239613
북촌문화센터,서울특별시 종로구 계동길 37,37.57907437956687,126.9864318880889
노원어린이도서관,서울 노원구 한글비석로 346 노원어린이도서관,37.6579494099946,127.076379050006
살롱쿤스트,서울특별시 서초구 논현로 117,37.4802905984418,127.043308728556
강서구립길꽃어린이도서관,서울특별시 강서구 금낭화로24길 5,37.5787189637477,126.813657528897
서울시립 북서울미술관,서울특별시 노원구 동일로 1238,37.6406604547872,127.066865579183
광림아트센터 장천홀,서울특별시 강남구 압구정로22길 21,37.5242621122375,127.026542808066
서초구립내곡도서관,서울특별시 서초구 청계산로7길 9-20,37.4520032504691,127.054444623274
내를 건너서 숲으로 도서관,서울특별시 은평구 증산로 17길 50 내를건너서숲으로도서관,37.5916963128908,126.908048159351
한양도성박물관,서울특별시 종로구 율곡로 283,37.5728571793919,127.008512843764
국립현대무용단 댄스하우스,서울특별시 강남구 강남대로110길 83-10,37.5035937848027,127.031389528446
은평구청소년문화의집 신나는애프터센터,"서울특별시 은평구 연서로6길 7 (역촌동, 은평구청소년문화의집)",37.6043734995,126.9166272426
중랑구민회관,서울특별시 중랑구 면목로 238,37.57384126888469,127.08506502512876
평강성서유물박물관,서울특별시 구로구 오류로8라길 44,37.4919552205758,126.844061327772
포스코미술관,서울시 강남구 테헤란로 440 포스코센터 지하 1층 포스코미술관,37.5057694,127.0558879
필 갤러리,서울 용산구 유엔빌리지길 24 필 갤러리,37.5335832999485,127.009780074836
아트하우스 모모,서울특별시 서대문구 이화여대길 52,37.5644645178259,126.950288837762
서울남산국악당,서울특별시 중구 퇴계로34길 28 서울남산국악당,37.5583499463987,126.994021611776
동자아트홀,서울특별시 용산구 한강대로 372 KDB생명타워 B2층,37.5516794257654,126.972905059299
개봉도서관,서울 구로구 개봉로16길 30-11 개봉초등학교 내,37.4895280611996,126.857972181036
일신홀,서울특별시 용산구 한남대로 98 일신빌딩 1층,37.537167036107,127.005516646173
더줌아트센터,서울특별시 용산구 독서당로 111,37.5361228594578,127.007307641122
강남구립정다운도서관,서울특별시 강남구 학동로67길 11,37.5190987146919,127.046440886765
폼텍웍스홀,서울특별시 마포구 잔다리로3길 34,37.5506957017413,126.917916281049
서울도서관,서울특별시 중구 세종대로 110,37.5663174209601,126.977829174031
서울시립청소년음악센터,서울특별시 양천구 남부순환로 657,37.5105883194895,126.842870706009
가나아트센터,서울특별시 종로구 평창30길 28,37.6122447138613,126.975182153045
KT&G 상상마당 대치아트홀,서울특별시 강남구 영동대로 416 KT&G 타워 3층,37.5065841136869,127.065326637295
구로구립글마루 한옥어린이도서관,서울특별시 구로구 고척로27바길 7,37.5069156006181,126.845637024997
서울책보고,서울 송파구 신천동 14,37.52202784263066,127.1038467712633
강남구립대치도서관,서울 강남구 삼성로 212 은마아파트 복지상가 2층 215호,37.4996157705058,127.065915414443
킵인터치,서울특별시 종로구 북촌로1길 13,37.5773133865904,126.984946373051
한강이야기전시관,서울특별시 광진구 강변북로 2202,37.52998877884993,127.06527882345472
서울휴먼라이브러리,서울특별시 동대문구 서울시립대로 163,37.5825775765293,127.059988126984
동덕아트갤러리,서울특별시 종로구 우정국로 68,37.5749329202213,126.983315938932
동호갤러리,서울특별시 종로구 인사동7길 12,37.5730678443379,126.985219247296
코리아나미술관,서울특별시 강남구 언주로 827,37.5240691643,127.032811048
서울하수도과학관,서울특별시 성동구 자동차시장3길 64,37.5604666954517,127.060364943935
사각사각 플레이스,서울특별시 송파구 한가람로 65,37.5176276345914,127.08673648927
강남구립못골한옥어린이도서관,서울특별시 강남구 자곡로7길 3,37.4733061524019,127.099727862691
농업박물관,서울특별시 중구 새문안로 16,37.566738542645766,126.96832931549086
강남구립청담도서관,서울 강남구 압구정로79길 26 청담동주민센터,37.5250921105077,127.04929111534
예술의전당 한가람미술관,서울특별시 서초구 남부순환로 2406,37.4802401962069,127.014215239186
서울백제어린이박물관,서울특별시 송파구 올림픽로 424,37.523991,127.124412
갤러리 JJ,서울특별시 강남구 압구정로30길 63,37.5232493093031,127.029158344853
강남구립도곡정보문화도서관,서울 강남구 도곡로18길 57 도곡정보문화도서관,37.4883103031337,127.038880370672
노원문화원,서울특별시 노원구 동일로197길 24,37.6287989945413,127.069800913955
간송미술관,서울특별시 성북구 성북로 102-11,37.5944624355121,126.996238532295
OCI미술관,서울특별시 종로구 우정국로 45-14,37.5732395069024,126.982128279816
서울올림픽기념관,서울특별시 송파구 올림픽로 424,37.5203396980951,127.115517876627
이화여자대학교 박물관,서울특별시 서대문구 이화여대길 52,37.5644645178259,126.950288837762
한국금융사박물관,서울특별시 중구 세종대로 135-5,37.5685952282764,126.976433052559
성북구립 최만린미술관,서울특별시 성북구 솔샘로7길 23,37.6106597929108,127.004288022173
불암도서관,서울 노원구 중계로 106 불암도서관,37.6452921261057,127.082544741726
강남구립논현도서관,서울 강남구 학동로43길 17 논현2문화센터 6층,37.5172831299803,127.037204204847
샤머니즘박물관,서울특별시 은평구 진관2로 57-23,37.6351344788336,126.925378161529
서울특별시교육청 동대문도서관,서울 동대문구 천호대로4길 22 동대문도서관,37.5738565548699,127.024185212313
아름꿈도서관,서울 종로구 종로58가길 19 2층,37.5726963187211,127.017117455617
갤러리 비선재,서울특별시 용산구 유엔빌리지3길 54-14,37.5357632637137,127.014278496667
강남구립역삼푸른솔도서관,서울특별시 강남구 테헤란로8길 36,37.496499181425,127.032028764698
금천구립금나래도서관,서울특별시 금천구 시흥대로73길 70,37.4570656519531,126.896036850324
서리풀청년아트갤러리,서울특별시 서초구 남부순환로323길 1,37.481137954971,127.013504028268
현대카드 아트 라이브러리,서울특별시 용산구 이태원로 248,37.5368105457993,127.000866126411
용산구립청파도서관,서울특별시 용산구 청파로93길 27,37.5539252695747,126.967604332641
옛 국립극단 백성희장민호극장,서울특별시 용산구 청파로 373,37.5531465401719,126.968279388516
팝콘D스퀘어,서울특별시 용산구 한강대로23길 55 아이파크몰 테마파크 6층 1-1호,37.52985067787847,126.9648716843599
대원 콘텐츠 라이브,서울특별시 용산구 한강대로23길 55 현대아이파크몰 리빙파크 6층 1-1 팝콘D스퀘어,37.5297718014452,126.964741503485
한양대학교 박물관,서울특별시 성동구 왕십리로 222,37.5545035492027,127.046611216789
우리소리도서관,서울특별시 종로구 삼일대로30길 47,37.5744823869,126.9902329177
예스24 라이브홀,서울특별시 광진구 구천면로 20,37.5457267681008,127.107967944506
