name,type,address,위도,경도
광나루한강공원 농구장,농구장,서울특별시 강동구 선사로 83-106,37.5553283,127.1253824
광나루한강공원 레이싱경기장,기타,서울특별시 강동구 암사동 624-3,37.5582352,127.1308542
광나루한강공원 배구장,기타,서울특별시 강동구 선사로 83-106,37.5553283,127.1253824
광나루한강공원 수영장,수영장,서울특별시 강동구 선사로 83-106,37.5553283,127.1253824
광나루한강공원 야구장,야구장,서울특별시 강동구 선사로 83-106,37.5553283,127.1253824
광나루한강공원 인라인스케이트장,기타,서울특별시 강동구 천호동 481-4,37.54294,127.12733
광나루한강공원 족구장,기타,서울특별시 강동구 선사로 83-106,37.5553283,127.1253824
광나루한강공원 테니스장,테니스장,서울특별시 강동구 선사로 83-106,37.5553283,127.1253824
광남초등학교,기타,서울특별시 광진구 아차산로70길 35,37.5410509,127.1004668
광운대학교,기타,서울특별시 노원구 광운로 21,37.6187881,127.0572145
광장동 실내배드민턴장,배드민턴장,서울특별시 광진구 천호대로140길 40,37.5444482,127.100461
광장동체육공원,기타,서울특별시 광진구 광장동 아차산로 586,37.5473784,127.105858
광진구 중랑천 파크골프장,골프연습장,서울특별시 광진구 동일로 349,37.538336,127.0619227
광진구민체육센터,생활체육관,서울특별시 광진구 구천면로 14  ,37.546317,127.1082288
광진구민체육센터 골프연습장,골프연습장,서울특별시 광진구 구천면로 14  ,37.546317,127.1082288
광진구민체육센터 수영장,수영장,서울특별시 광진구 구천면로 14  ,37.546317,127.1082288
광진문화예술회관 골프장,골프연습장,서울특별시 광진구 능동로 76 ,37.5524181,127.0770253
광진문화예술회관 수영장,수영장,서울특별시 광진구 능동로 76,37.5524181,127.0770253
광진문화예술회관 체육관,생활체육관,서울특별시 광진구 능동로 76,37.5524181,127.0770253
광진청소년센터,생활체육관,서울특별시 광진구 구천면로 2,37.546317,127.1082288
광진청소년센터 농구장,농구장,서울특별시 광진구 구천면로 2,37.546317,127.1082288
구로구 풋살경기장,축구장,서울특별시 구로구 구일로 133,37.4963802,126.8708946
구로구민체육센터,생활체육관,서울특별시 구로구 고척로45길 39,37.5055725,126.8538738
구로구민체육센터 수영장,수영장,서울특별시 구로구 고척로45길 39 ,37.5055725,126.8538738
구로초등학교,기타,서울특별시 구로구 구로중앙로27나길 9,37.4966961,126.8852087
구의야구공원,야구장,서울특별시 광진구 천호대로 580,37.546101,127.101426
구의유수지 족구장,기타,서울특별시 광진구 구의강변로 10,37.533649,127.0909059
구의초등학교,기타,서울특별시 광진구 화양동 광나루로30길 49,37.5433255,127.0814865
구일 스케이트파크,기타,서울특별시 구로구 구일로 133,37.4963802,126.8708946
국사봉체육관,생활체육관,서울특별시 관악구 국회단지길 144,37.49041,126.942216
궁동종합사회복지관 수영장,수영장,서울특별시 구로구 궁동 오리로22길 5 ,37.499034,126.82965
궁동체육관,배드민턴장,서울특별시 서대문구 연희로11마길 86-47,37.5692762,126.9255474
궁산다목적체육관,생활체육관,서울특별시 강서구 양천로49길 106 ,37.5715973,126.8400957
금나래문화체육센터,생활체육관,서울특별시 금천구 시흥대로79길 32,37.4589804,126.8961006
금나래문화체육센터 수영장,수영장,서울특별시 금천구 시흥대로79길 32 ,37.4589804,126.8961006
금나래족구장,기타,서울특별시 금천구 시흥대로63길 91,37.4557878,126.8942911
금빛휘트니스센터,생활체육관,서울특별시 금천구 금하로 668,37.4533757,126.8970755
금빛휘트니스센터 골프연습장,골프연습장,서울특별시 금천구 금하로 668,37.4533757,126.8970755
금천구 한내천파크골프장,골프연습장,서울특별시 금천구 서부샛길 418 ,37.4717412,126.8815244
금천구민문화체육센터,생활체육관,서울특별시 금천구 독산로54길 188,37.4676609,126.9091939
금천구민문화체육센터 골프연습장,골프연습장,서울특별시 금천구 독산로54길 188 ,37.4676609,126.9091939
금천구민문화체육센터 수영장,수영장,서울특별시 금천구 독산로54길 188,37.4676609,126.9091939
금천베이스볼파크,야구장,서울특별시 금천구 가산디지털2로 169-44,37.4802965,126.8789081
금천청소년센터 수영장,수영장,서울특별시 금천구 금하로30길 54 ,37.4484259,126.9156038
