name,lat,lng
원남동사거리,37.57576174,126.9981123
숭인2동주민센터,37.57427215,127.0204373
조계사,37.57280034,126.9831609
세종문화회관,37.57336557,126.9770167
이화동(이화장),37.576257,127.002955
상명대정문,37.601417,126.955143
이북오도청,37.61272348,126.955973
경복궁역(효자로입구),37.57670951,126.9743023
상명대입구.세검정교회,37.59944351,126.9597922
상명대입구.석파랑,37.59957181,126.9581941
종로중부새마을금고,37.57241749,127.0065911
신설동역오거리.서울풍물시장,37.57425481,127.0231951
청계2가.삼일교,37.56834543,126.9869891
청계8가.황학교,37.57213073,127.022787
평창동삼성아파트,37.61118009,126.9787981
안국역5번출구,37.57633293,126.9855365
안국역.서울공예박물관,37.57641401,126.9848871
창덕궁,37.57722809,126.9890031
남인사마당,37.57131917,126.9874286
평창파출소,37.60568122,126.9668167
삼청공원,37.58822768,126.9816469
수성동계곡,37.58208138,126.9644679
명륜3가종점,37.59094838,126.9928637
명륜새마을금고,37.58778547,126.9967901
서대문역3번출구,37.56633706,126.9663939
낙산공원,37.58040372,127.0087216
인사미술공간.세탁소,37.58141098,126.9893671
화정박물관,37.6048012,126.9648837
금융연수원,37.58663983,126.9816583
박노수미술관,37.58099674,126.9666035
샘미용실.종로구청소년상담복지센터,37.59030953,126.9932227
서울국제고등학교,37.58907159,126.9972903
화정박물관,37.60498061,126.9652008
적십자병원후문앞,37.56752954,126.9652273
서울성곽.성대후문,37.58936638,126.9895694
빨래터.고희동미술관,37.58298722,126.9890634
세검초등학교,37.60425228,126.9614908
삼청동주민센터,37.58426383,126.9819072
통인시장,37.58044175,126.9684957
양현관,37.58979142,126.9936044
국민생활관,37.58974563,126.998862
오거리,37.60706212,126.9622629
경희궁자이2.3단지,37.56878711,126.9640686
창신쌍용2단지.한성대후문,37.5812648,127.0127581
통일부,37.58759481,126.9859477
원서고개,37.58308055,126.9878088
종로5가입구,37.57179285,126.9976709
삼청파출소,37.58181366,126.981251
오거리.한옥마을입구,37.57940462,126.9696089
명륜시장.성대후문,37.58851105,126.9952543
혜화초등학교,37.58725323,126.9998517
청련사입구,37.60798038,126.9624312
영천시장,37.57008186,126.9627389
명신초.삼선푸르지오.힐스테이트,37.58210621,127.0145563
감사원,37.58621065,126.9852901
중앙중고,37.58309218,126.9869653
인왕빌딩,37.60792833,126.9577443
종로4가.종묘공원,37.57068903,126.9946203
국립민속박물관,37.57925518,126.9795534
광화문새마을금고,37.57936877,126.9711466
새마을금고,37.58773706,126.9965181
혜화우체국,37.58603766,127.0006137
언덕앞,37.60895398,126.9637922
경희궁자이4단지,37.57070222,126.9621148
종로센트레빌후문.e편한세상보문아파트,37.58177439,127.0161855
사우디대사관앞.북촌힐스,37.58410567,126.9850312
안국선원.삼거리,37.58279098,126.9849941
구기터널입구,37.60820461,126.9567769
종로3가역9번출구,37.57108758,126.9920932
경복궁,37.57695016,126.9793378
소나무집,37.61127707,126.9641105
독립문역3번출구,37.57287848,126.9597453
청룡사.보문파크뷰자이아파트,37.58001895,127.0170071
북촌한옥마을입구.정세권활동터,37.58159973,126.9849422
종로1.2.3.4가동주민센터,37.57438371,126.9911314
창덕궁,37.57608925,126.99062
아름다운실버,37.61201006,126.9654637
독립문초등학교,37.57386997,126.9606775
종로센트레빌아파트,37.58035344,127.0156927
가회동주민센터,37.57997294,126.9849543
구기빌라,37.60626861,126.9579797
원남로터리,37.57623737,126.9975115
보현산신각,37.61348252,126.9657791
린덴바움숲유치원,37.57466928,126.961804
