업태구분명,사업장명,lat,lng,지번주소
백화점,뉴코아백화점,37.5083791,127.0079985,서울특별시 서초구 잠원동 70번지 5호 뉴코아백화점빌딩
대형마트,코스트코코리아,37.4619559,127.036182,
대형마트,롯데쇼핑(주) 롯데마트 서초점,37.4902033,127.0056607," 서울특별시 서초구 서초동 1498-5 마제스타시티, 힐스테이트 서리풀 "
대형마트,(주)이마트 양재점,37.4624667,127.0369441,서울특별시 서초구 양재동 215호 하이브랜드 지하1층
대형마트,신세계백화점 강남점,37.5042121,127.0032242,서울특별시 서초구 반포동 19번지 3호
백화점,롯데백화점 잠실점,37.5114215,127.0974981,서울특별시 송파구 잠실동 40번지 1호
백화점,갤러리아백화점(동관),37.5278596,127.0418175,서울특별시 강남구 압구정동 515호
백화점,롯데백화점(강남점),37.497095,127.0537686,서울특별시 강남구 대치동 937호
대형마트,(주)이마트 역삼점,37.499232,127.048347,서울특별시 강남구 역삼동 755번지
백화점,SSG Food Market 백화점,37.5233099,127.0441156,서울특별시 강남구 청담동 4번지 1호 외 9필지
백화점,(주)현대백화점 본점,37.5273912,127.0275117,서울특별시 강남구 압구정동 429번지
백화점,현대백화점 무역센터점,37.5086132,127.059765,서울특별시 강남구 삼성동 159번지 7호
백화점,갤러리아백화점(서관),37.5284583,127.0401014,서울특별시 강남구 압구정동 494호
대형마트,롯데쇼핑(주) 롯데마트 월드타워점,37.5130584,127.1030211,서울특별시 송파구 신천동 29번지 롯데월드타워앤드롯데월드몰
백화점,롯데백화점 에비뉴엘 월드타워점,37.5130584,127.1030211,서울특별시 송파구 신천동 29번지
대형마트,홈플러스(주)잠실점,37.5162751,127.1030052,서울특별시 송파구 신천동 7번지 12  호
대형마트,롯데쇼핑(주)롯데마트 제타플렉스 잠실점,37.5114215,127.0974981,서울특별시 송파구 잠실동 40번지 1호
대형마트,(주)이마트천호점,37.5386108,127.1256514,서울특별시 강동구 천호동 454번지 1호
대형마트,홈플러스 강동점,37.5456978,127.1422718,서울특별시 강동구 천호동 42번지
백화점,현대백화점 천호점,37.5387934,127.1247553,서울특별시 강동구 천호동 455번지 8호
대형마트,신세계 이마트 명일점,37.5546826,127.1537017,서울특별시 강동구 명일동 46번지 4호   
