school_name,type,lat,lng
서울독립문초등학교,초등학교,37.57421553,126.9599722
신일중학교,중학교,37.62796722,127.0284273
원묵중학교,중학교,37.61777209,127.0843728
서울옥정초등학교,초등학교,37.54230974,127.0157855
서울봉은초등학교,초등학교,37.52008269,127.0609329
서울중화초등학교,초등학교,37.60292163,127.094065
종암중학교,중학교,37.593111,127.0319913
한강중학교,중학교,37.52361192,126.9927909
신월중학교,중학교,37.54046194,126.828389
서울성산초등학교,초등학교,37.55342789,126.9109504
아주중학교,중학교,37.50523028,127.0765497
서울동일초등학교,초등학교,37.66481537,127.05417
서울개현초등학교,초등학교,37.48078757,127.0616268
서울삼선초등학교,초등학교,37.58714152,127.0126718
중평중학교,중학교,37.63697638,127.0623933
서울신중초등학교,초등학교,37.48015788,127.0093433
서울관광고등학교,고등학교,37.48781542,126.9437608
서울배봉초등학교,초등학교,37.58008416,127.0668719
강서공업고등학교,고등학교,37.57603409,126.8161817
중동고등학교,고등학교,37.49371459,127.0809122
서울수유초등학교,초등학교,37.63124966,127.0202924
서울관악초등학교,초등학교,37.48102565,126.9425545
신수중학교,중학교,37.545923,126.934132
언주중학교,중학교,37.51465316,127.0466832
휘봉고등학교,고등학교,37.58647725,127.068852
서울난우초등학교,초등학교,37.47711829,126.9176525
숭곡중학교,중학교,37.60847848,127.0312998
강북중학교,중학교,37.6449159,127.0253734
서울원명초등학교,초등학교,37.50079587,127.0167076
서울역삼초등학교,초등학교,37.49316528,127.0326527
홍익대학교사범대학부속고등학교,고등학교,37.59366662,127.002805
서울방학초등학교,초등학교,37.66393373,127.032748
서울용두초등학교,초등학교,37.57641309,127.0283872
서울상봉초등학교,초등학교,37.59797895,127.0831714
신원중학교,중학교,37.5370925,126.8248419
서울원광초등학교,초등학교,37.65431092,127.0749142
덕산중학교,중학교,37.6022574,126.9046771
서울중계초등학교,초등학교,37.65784243,127.0733117
서울금천초등학교,초등학교,37.45481034,126.9128749
서울윤중초등학교,초등학교,37.51964164,126.9225908
서울가락초등학교,초등학교,37.50002115,127.1076425
서울강덕초등학교,초등학교,37.55954748,127.1604836
환일고등학교,고등학교,37.55360652,126.9628021
서울해누리초등학교,초등학교,37.49824966,127.1021917
서울여자상업고등학교,고등학교,37.47290457,126.9509181
경인고등학교,고등학교,37.49599268,126.8654289
서울신용산초등학교,초등학교,37.52062959,126.9753663
남성중학교,중학교,37.47900822,126.972489
창일중학교,중학교,37.64898751,127.0469136
서울광남초등학교,초등학교,37.54078809,127.1006653
전일중학교,중학교,37.58250018,127.0583795
서울자운초등학교,초등학교,37.65801094,127.0466811
서울신당초등학교,초등학교,37.56362621,127.0236731
서울용동초등학교,초등학교,37.64108381,127.0690818
서울양원초등학교,초등학교,37.53821733,126.8231052
서울월계초등학교,초등학교,37.62762424,127.0501876
서울중평초등학교,초등학교,37.63753357,127.0639651
우신고등학교,고등학교,37.49490231,126.8263536
월곡중학교,중학교,37.60698163,127.0482588
서울송정초등학교,초등학교,37.56223089,126.8102813
서울정화고등학교,고등학교,37.58604864,127.0410703
청원초등학교,초등학교,37.66525155,127.0625329
서울거원초등학교,초등학교,37.48762503,127.144909
서울문성초등학교,초등학교,37.47491196,126.8994492
봉원중학교,중학교,37.48410274,126.9588909
서운중학교,중학교,37.49394851,127.0245382
서울난향초등학교,초등학교,37.46282189,126.9183368
신도림중학교,중학교,37.51074073,126.8848071
서울강남초등학교,초등학교,37.50619275,126.9533591
오금중학교,중학교,37.50527064,127.1288011
서울면남초등학교,초등학교,37.57725972,127.0876664
서울신학초등학교,초등학교,37.66122045,127.0257213
서울원당초등학교,초등학교,37.48128046,126.9562493
서울송화초등학교,초등학교,37.56769447,126.8168745
서울신답초등학교,초등학교,37.57270461,127.0429617
염창중학교,중학교,37.55426407,126.8717473
홍익대학교사범대학부속여자중학교,중학교,37.55964474,126.9132084
정신여자고등학교,고등학교,37.50945384,127.0738473
가락중학교,중학교,37.50248553,127.1187527
서울강서초등학교,초등학교,37.52241272,126.8409879
서울신림초등학교,초등학교,37.47711985,126.9268767
서울창경초등학교,초등학교,37.65660218,127.0346025
서울원촌초등학교,초등학교,37.50618948,127.0125656
상명대학교사범대학부속초등학교,초등학교,37.60044056,126.9567149
서울숭미초등학교,초등학교,37.65102344,127.0279443
한성과학고등학교,고등학교,37.57543617,126.9523709
서울송천초등학교,초등학교,37.6149052,127.0237354
방산중학교,중학교,37.50937287,127.1218756
상명대학교사범대학부속여자중학교,중학교,37.60410891,126.9551595
서울사당초등학교,초등학교,37.47383628,126.9733501
문일중학교,중학교,37.44891526,126.8987207
서울신원초등학교,초등학교,37.52950283,126.829855
서울미술고등학교,고등학교,37.47669631,126.9667485
서울목동초등학교,초등학교,37.52280877,126.8721195
서울거여초등학교,초등학교,37.50516942,127.1409011
서울청량초등학교,초등학교,37.5923094,127.0559085
동국대학교사범대학부속중학교,중학교,37.57804718,127.0751705
고명외식고등학교,고등학교,37.59767468,127.0191869
성동고등학교,고등학교,37.56411643,127.0223892
덕원여자고등학교,고등학교,37.54862258,126.8290245
우신중학교,중학교,37.49490231,126.8263536
인덕과학기술고등학교,고등학교,37.63034387,127.0544999
동국대학교사범대학부속고등학교,고등학교,37.57804718,127.075133
동명여자고등학교,고등학교,37.61441879,126.9228204
고척고등학교,고등학교,37.50804938,126.8498691
서울문정초등학교,초등학교,37.48907284,127.1290135
국사봉중학교,중학교,37.49353263,126.9440557
서울당서초등학교,초등학교,37.53202744,126.8998142
대영고등학교,고등학교,37.50366109,126.9058657
대일고등학교,고등학교,37.53958612,126.8625699
서울대학교사범대학부설고등학교,고등학교,37.59472384,127.0381204
서울광진초등학교,초등학교,37.54761146,127.0913325
휘경여자중학교,중학교,37.58190052,127.0674341
관악중학교,중학교,37.48125828,126.9619123
신림중학교,중학교,37.47032734,126.946004
한가람고등학교,고등학교,37.53746204,126.8840075
경희고등학교,고등학교,37.59394914,127.054891
봉화중학교,중학교,37.59582753,127.1043156
오류고등학교,고등학교,37.50035507,126.827683
서울숭신초등학교,초등학교,37.56781934,127.0278897
서울옥수초등학교,초등학교,37.54552939,127.0218696
서울숭인초등학교,초등학교,37.6091602,127.0382341
광신방송예술고등학교,고등학교,37.4644762,126.9259406
신림고등학교,고등학교,37.47921049,126.9169672
문현중학교,중학교,37.48058417,127.1279464
동작고등학교,고등학교,37.48260194,126.9650863
가재울고등학교,고등학교,37.57444587,126.9094148
서울신영초등학교,초등학교,37.50100602,126.8960948
이화여자대학교사범대학부속이화·금란중학교,중학교,37.56264282,126.9444886
상계중학교,중학교,37.65260154,127.0689222
미림마이스터고등학교,고등학교,37.4661018,126.9319279
서울하늘초등학교,초등학교,37.5858088,126.8808619
가락고등학교,고등학교,37.50107579,127.1164258
경희초등학교,초등학교,37.59394914,127.054891
동작중학교,중학교,37.49546195,126.9778016
영파여자중학교,중학교,37.53273562,127.1197395
동도중학교,중학교,37.54670177,126.9469053
서울구로남초등학교,초등학교,37.48420602,126.8902182
서울구룡초등학교,초등학교,37.48119739,127.0517714
경복비즈니스고등학교,고등학교,37.55802536,126.8526703
서울신서초등학교,초등학교,37.52055887,126.8623309
서울논현초등학교,초등학교,37.5084232,127.0262229
서울아주초등학교,초등학교,37.50582689,127.075764
송곡고등학교,고등학교,37.60584544,127.1064637
해성여자고등학교,고등학교,37.5818726,127.0569769
한천중학교,중학교,37.63131395,127.0724683
서울면일초등학교,초등학교,37.5920416,127.0997947
서울신계초등학교,초등학교,37.62979163,127.052769
경문고등학교,고등학교,37.49341886,126.9822734
전농중학교,중학교,37.58204428,127.0592794
청원중학교,중학교,37.66525155,127.0625329
경희여자고등학교,고등학교,37.59394914,127.054891
강현중학교,중학교,37.50311599,126.9307563
석관고등학교,고등학교,37.60958929,127.0667176
홍은중학교,중학교,37.59189151,126.9357524
서울면동초등학교,초등학교,37.58535152,127.0865922
해성국제컨벤션고등학교,고등학교,37.5818726,127.0569769
성수중학교,중학교,37.54734181,127.0382534
중화고등학교,고등학교,37.60481461,127.0836541
진명여자고등학교,고등학교,37.52404701,126.8658566
서울신천초등학교,초등학교,37.5140111,127.0950476
서울남천초등학교,초등학교,37.50144683,127.1507951
서울영화초등학교,초등학교,37.50890811,126.9329735
개봉중학교,중학교,37.50352932,126.8423998
서울공진초등학교,초등학교,37.55780477,126.8226104
서울대학교사범대학부설중학교,중학교,37.59582047,127.0391333
문창중학교,중학교,37.49580287,126.9224055
언북중학교,중학교,37.51942855,127.0331263
광신중학교,중학교,37.4644762,126.9259406
개포고등학교,고등학교,37.48495285,127.0594065
원묵고등학교,고등학교,37.61523231,127.0855078
서울전농초등학교,초등학교,37.57473031,127.0543331
문일고등학교,고등학교,37.44891526,126.8987207
하계중학교,중학교,37.64136991,127.0723336
당곡고등학교,고등학교,37.49176034,126.9342464
서울신내초등학교,초등학교,37.60493422,127.1001285
서울중곡초등학교,초등학교,37.57489173,127.083439
서문여자중학교,중학교,37.48891973,126.9845622
서울금화초등학교,초등학교,37.56882755,126.9629414
송파중학교,중학교,37.49592462,127.1299138
서울온곡초등학교,초등학교,37.66754054,127.0659829
잠실중학교,중학교,37.51781757,127.0986662
서울서정초등학교,초등학교,37.52345012,126.8672362
봉은중학교,중학교,37.51897667,127.0623894
서울잠실초등학교,초등학교,37.52010753,127.1113114
동양고등학교,고등학교,37.56901968,126.8470811
정화여자중학교,중학교,37.58604864,127.0410078
봉영여자중학교,중학교,37.50921598,126.8601984
인헌고등학교,고등학교,37.47231073,126.9704851
서울도봉초등학교,초등학교,37.67996175,127.0382887
고척중학교,중학교,37.49974083,126.8613425
대진디자인고등학교,고등학교,37.49042815,127.0959793
안천중학교,중학교,37.45952426,126.8874988
상원중학교,중학교,37.67176621,127.0595044
남서울중학교,중학교,37.48213625,126.9210371
